    magnitudes :   29524.3125 ,   29524.3125 ,   30933.5625 ,   29626.0000 ,   28381.0000 ,   27280.8750 ,   23472.0000 ,   25225.5625 ,   29524.3125 ,   30933.5625 ,   32298.0625 ,   32298.0625 ,   30933.5625 ,   22607.7500 ,   25225.5625 ,   27280.8750 ,   28381.0000 ,   28381.0000 ,   21914.6250 ,   26157.7500 ,   28381.0000 ,   28381.0000 ,   24273.3125 ,   27122.7500 ,   27280.8750 ,   21914.6250 ,   25225.5625 ,   22039.6875 , 
    magnitudes :   28392.3750 ,   28392.3750 ,   29536.1875 ,   29536.1875 ,   27291.8125 ,   27291.8125 ,   22754.2500 ,   27133.6250 ,   32311.0000 ,   33874.1875 ,   33874.1875 ,   35511.5625 ,   33874.1875 ,   21923.3750 ,   25235.6875 ,   27291.8125 ,   28392.3750 ,   28392.3750 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   23481.4375 ,   27133.6250 ,   27291.8125 ,   21923.3750 ,   25235.6875 ,   22048.5625 , 
    magnitudes :   29536.1875 ,   28392.3750 ,   28392.3750 ,   28392.3750 ,   26310.0625 ,   26168.1875 ,   22048.5625 ,   32179.3750 ,   35511.5625 ,   37411.9375 ,   35511.5625 ,   37619.1250 ,   33874.1875 ,   22616.7500 ,   26168.1875 ,   28392.3750 ,   29536.1875 ,   28392.3750 ,   21923.3750 ,   26168.1875 ,   28392.3750 ,   28392.3750 ,   23481.4375 ,   27133.6250 ,   27291.8125 ,   22616.7500 ,   25235.6875 ,   22754.2500 , 
    magnitudes :   26192.8750 ,   28419.1250 ,   28419.1250 ,   28419.1250 ,   26334.8125 ,   25259.4375 ,   22069.3125 ,   27159.1250 ,   30859.3125 ,   30975.1250 ,   30975.1250 ,   30975.1250 ,   28419.1250 ,   22638.0625 ,   26192.8750 ,   28419.1250 ,   29564.0000 ,   29564.0000 ,   21944.0000 ,   26192.8750 ,   28419.1250 ,   29564.0000 ,   23503.5625 ,   27159.1250 ,   27317.5000 ,   21944.0000 ,   25259.4375 ,   22069.3125 , 
    magnitudes :   22048.5625 ,   27291.8125 ,   28392.3750 ,   28392.3750 ,   26168.1875 ,   25235.6875 ,   22048.5625 ,   26168.1875 ,   29536.1875 ,   29536.1875 ,   29536.1875 ,   29536.1875 ,   26310.0625 ,   23330.3750 ,   27133.6250 ,   28392.3750 ,   30830.3125 ,   29637.8750 ,   22616.7500 ,   26168.1875 ,   29536.1875 ,   29637.8750 ,   23481.4375 ,   27133.6250 ,   27291.8125 ,   21923.3750 ,   24396.2500 ,   21923.3750 , 
    magnitudes :   21281.5625 ,   29524.3125 ,   28381.0000 ,   27280.8750 ,   26299.5000 ,   25225.5625 ,   22039.6875 ,   27122.7500 ,   28381.0000 ,   28381.0000 ,   28381.0000 ,   28381.0000 ,   26157.7500 ,   26018.1875 ,   29524.3125 ,   30933.5625 ,   32298.0625 ,   32298.0625 ,   22607.7500 ,   27122.7500 ,   29524.3125 ,   32298.0625 ,   24273.3125 ,   27122.7500 ,   27280.8750 ,   21914.6250 ,   24386.5000 ,   22039.6875 , 
    magnitudes :   20693.3750 ,   29564.0000 ,   28419.1250 ,   27317.5000 ,   26192.8750 ,   25259.4375 ,   22069.3125 ,   28240.9375 ,   28419.1250 ,   28419.1250 ,   27317.5000 ,   28419.1250 ,   26334.8125 ,   28066.0625 ,   30859.3125 ,   33906.1250 ,   35545.0000 ,   33906.1250 ,   21944.0000 ,   27159.1250 ,   29564.0000 ,   35545.0000 ,   23503.5625 ,   27159.1250 ,   27317.5000 ,   21944.0000 ,   24419.2500 ,   22069.3125 , 
    magnitudes :   20108.3125 ,   30830.3125 ,   30946.0000 ,   28392.3750 ,   26168.1875 ,   25235.6875 ,   21404.6250 ,   26168.1875 ,   30830.3125 ,   28392.3750 ,   27291.8125 ,   27291.8125 ,   24396.2500 ,   33722.6250 ,   33874.1875 ,   33874.1875 ,   33874.1875 ,   32311.0000 ,   24283.0625 ,   29536.1875 ,   32179.3750 ,   32311.0000 ,   24283.0625 ,   27133.6250 ,   28392.3750 ,   22616.7500 ,   25235.6875 ,   22754.2500 , 
    magnitudes :   21281.5625 ,   29524.3125 ,   32298.0625 ,   28381.0000 ,   26157.7500 ,   25225.5625 ,   22039.6875 ,   25100.4375 ,   32166.5000 ,   28381.0000 ,   27280.8750 ,   27280.8750 ,   24386.5000 ,   33709.1250 ,   32166.5000 ,   32166.5000 ,   32298.0625 ,   30817.9375 ,   26018.1875 ,   32166.5000 ,   33860.6250 ,   29524.3125 ,   25100.4375 ,   28203.0625 ,   28381.0000 ,   22607.7500 ,   25225.5625 ,   22745.1875 , 
    magnitudes :   20693.3750 ,   26192.8750 ,   35545.0000 ,   28419.1250 ,   26192.8750 ,   25259.4375 ,   22069.3125 ,   22775.6875 ,   35545.0000 ,   28419.1250 ,   27317.5000 ,   27317.5000 ,   25259.4375 ,   37243.0625 ,   30859.3125 ,   29564.0000 ,   30859.3125 ,   29564.0000 ,   30631.6250 ,   35545.0000 ,   39448.6875 ,   29564.0000 ,   24305.9375 ,   28240.9375 ,   28419.1250 ,   22638.0625 ,   25259.4375 ,   21944.0000 , 
